,Financial Benchmarks India Private Ltd,,,,
,,,,,
FBIL SDL/SGS Prices/Yields,,,18-Sep-26,,
Calculating Agent: FBIL,,,,,
ISIN,Description,Coupon,Maturity (dd-mmm-yyyy),Price(Rs),YTM% p.a. (Semi-Annual)
IN3620160074,07.42 UK SDL 2026,7.42,09/Nov/2026,100.2164,5.5932
IN3420160092,07.42 WB SDL 2026,7.42,09/Nov/2026,100.2164,5.5932
IN1520220154,07.57 GJ SGS 2026,7.57,09/Nov/2026,100.2359,5.5932
IN3120190191,07.05 TN SDL 2026,7.05,20/Nov/2026,100.2122,5.5932
IN3820190038,07.08 PY SDL 2026,7.08,20/Nov/2026,100.2170,5.5932
IN1220160031,06.97 AS SDL 2026,6.97,23/Nov/2026,100.2109,5.5932
IN1320160113,06.89 BR SDL 2026,6.89,23/Nov/2026,100.1975,5.5932
IN1420160054,06.88 GA SDL 2026,6.88,23/Nov/2026,100.1958,5.5932
IN1620160235,06.86 HR SDL 2026,6.86,23/Nov/2026,100.1925,5.5932
IN1820160159,06.97 JK SDL 2026,6.97,23/Nov/2026,100.2109,5.5932
IN3720160032,06.90 JH SDL 2026,6.9,23/Nov/2026,100.1992,5.5932
IN1920160042,06.83 KA SDL 2026,6.83,23/Nov/2026,100.1875,5.5932
IN2020160114,06.85 KL SDL 2026,6.85,23/Nov/2026,100.1908,5.5932
IN2220160112,06.82 MH SDL 2026,6.82,23/Nov/2026,100.1858,5.5932
IN2620160050,06.89 NL SDL 2026,6.89,23/Nov/2026,100.1975,5.5932
IN2920160198,06.82 RJ SDL 2026,6.82,23/Nov/2026,100.1858,5.5932
IN3120160145,06.84 TN SDL 2026,6.84,23/Nov/2026,100.1891,5.5932
IN3320160275,06.85 UP SDL 2026,6.85,23/Nov/2026,100.1908,5.5932
IN3620160082,06.97 UK SDL 2026,6.97,23/Nov/2026,100.2109,5.5932
IN3420160100,06.88 WB SDL 2026,6.88,23/Nov/2026,100.1958,5.5932
IN2420220054,07.39 ML SGS 2026,7.39,23/Nov/2026,100.2812,5.5932
IN1520230104,07.58 GJ SGS 2026,7.58,29/Nov/2026,100.3458,5.5932
IN2920160206,06.85 RJ SDL 2026,6.85,30/Nov/2026,100.2153,5.5932
IN3320160283,06.87 UP SDL 2026,6.87,30/Nov/2026,100.2190,5.5932
IN2920210381,06.07 RJ SDL 2026,6.07,01/Dec/2026,100.0713,5.5932
IN1220210158,06.04 AS SDL 2026,6.04,08/Dec/2026,100.0751,5.5932
IN3520200079,05.93 CG SDL 2026,5.93,09/Dec/2026,100.0533,5.5932
IN1020160405,07.08 AP SDL 2026,7.08,14/Dec/2026,100.3165,5.5932
IN1220160049,07.10 AS SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN1320160121,07.10 BR SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN1420160062,07.10 GA SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN1520160152,07.05 GJ SDL 2026,7.05,14/Dec/2026,100.3098,5.5932
IN1820160167,07.10 JK SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN1920160059,07.08 KA SDL 2026,7.08,14/Dec/2026,100.3165,5.5932
IN2420160060,07.10 ML SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN2620160068,07.10 NL SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN2720160075,07.08 OD SDL 2026,7.08,14/Dec/2026,100.3165,5.5932
IN2920160214,07.06 RJ SDL 2026,7.06,14/Dec/2026,100.3120,5.5932
IN3020160039,07.10 SK SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN3120160152,07.07 TN SDL 2026,7.07,14/Dec/2026,100.3143,5.5932
IN3420160118,07.10 WB SDL 2026,7.1,14/Dec/2026,100.3210,5.5932
IN1520230146,07.40 GJ SGS 2026,7.4,27/Dec/2026,100.3556,5.9632
IN1020160413,07.25 AP SDL 2026 ,7.25,28/Dec/2026,100.3205,5.9632
IN1220160056,07.22 AS SDL 2026,7.22,28/Dec/2026,100.3126,5.9632
IN1320160139,07.29 BR SDL 2026,7.29,28/Dec/2026,100.3310,5.9632
IN3420160126,07.29 WB SDL 2026,7.29,28/Dec/2026,100.3310,5.9632
IN1520160160,07.24 GJ SDL 2026,7.24,28/Dec/2026,100.3179,5.9632
IN1420160070,07.21 GA SDL 2026,7.21,28/Dec/2026,100.3100,5.9632
IN1620160243,07.28 HR SDL 2026,7.28,28/Dec/2026,100.3283,5.9632
IN1920160067,07.27 KA SDL 2026,7.27,28/Dec/2026,100.3257,5.9632
IN2020160122,07.29 KL SDL 2026,7.29,28/Dec/2026,100.3310,5.9632
IN2220160120,07.25 MH SDL 2026,7.25,28/Dec/2026,100.3205,5.9632
IN2520160028,07.21 MZ SDL 2026,7.21,28/Dec/2026,100.3100,5.9632
IN2920210407,06.29 RJ SDL 2026 29 DEC,6.29,29/Dec/2026,100.0705,5.9632
IN1220210182,06.33 AS SDL 2026 29 DEC,6.33,29/Dec/2026,100.0811,5.9632
IN3520200087,05.88 CG SDL 2026,5.88,30/Dec/2026,99.9622,5.9632
IN1520230161,07.43 GJ SGS 2027,7.43,03/Jan/2027,100.3724,5.9632
IN2920200556,05.82 RJ SDL 2027,5.82,06/Jan/2027,99.9294,5.9632
IN1020160421,07.14 AP SDL 2027,7.14,11/Jan/2027,100.3206,5.9632
IN1320160147,07.12 BR SDL 2027,7.12,11/Jan/2027,100.3147,5.9632
IN1420160088,07.10 GA SDL 2027,7.1,11/Jan/2027,100.3087,5.9632
IN1520160178,07.14 GJ SDL 2027,7.14,11/Jan/2027,100.3206,5.9632
IN1920160075,07.15 KA SDL 2027,7.15,11/Jan/2027,100.3236,5.9632
IN2020160130,07.15 KL SDL 2027,7.15,11/Jan/2027,100.3236,5.9632
IN2920160222,07.15 RJ SDL 2027,7.15,11/Jan/2027,100.3236,5.9632
IN3120160178,07.16 TN SDL 2027,7.16,11/Jan/2027,100.3265,5.9632
IN3320160291,07.17 UP SDL 2027,7.17,11/Jan/2027,100.3295,5.9632
IN3620160090,07.18 UK SDL 2027,7.18,11/Jan/2027,100.3324,5.9632
IN3420160134,07.16 WB SDL 2027,7.16,11/Jan/2027,100.3265,5.9632
IN3520200095,05.97 CG SDL 2027,5.97,13/Jan/2027,99.9743,5.9632
IN2920210431,06.43 RJ SDL 2027,6.43,19/Jan/2027,100.1230,5.9632
IN2820160348,07.14 PN SDL 2027,7.14,20/Jan/2027,100.3524,5.9632
IN1320160154,07.20 BR SDL 2027,7.2,25/Jan/2027,100.3904,5.9632
IN3520160018,07.22 CG SDL 2027,7.22,25/Jan/2027,100.3971,5.9632
IN1420160096,07.19 GA SDL 2027,7.19,25/Jan/2027,100.3870,5.9632
IN1520160186,07.19 GJ SDL 2027,7.19,25/Jan/2027,100.3870,5.9632
IN1720160036,07.25 HP SDL 2027,7.25,25/Jan/2027,100.4071,5.9632
IN3720160040,07.21 JH SDL 2027,7.21,25/Jan/2027,100.3937,5.9632
IN1920160083,07.20 KA SDL 2027,7.2,25/Jan/2027,100.3904,5.9632
IN2120160089,07.19 MP SDL 2027,7.19,25/Jan/2027,100.3870,5.9632
IN2620160076,07.27 NG SDL 2027,7.27,25/Jan/2027,100.4138,5.9632
IN3020160047,07.24 SK SDL 2027,7.24,25/Jan/2027,100.4037,5.9632
IN3120160186,07.20 TN SDL 2027,7.2,25/Jan/2027,100.3904,5.9632
IN3220160045,07.22 TR SDL 2027,7.22,25/Jan/2027,100.3971,5.9632
IN3320160309,07.20 UP SDL 2027,7.2,25/Jan/2027,100.3904,5.9632
IN3420160142,07.21 WB SDL 2027,7.21,25/Jan/2027,100.3937,5.9632
IN2920210449,06.45 RJ SDL 2027 25 JAN,6.45,25/Jan/2027,100.1396,5.9632
IN3520200103,06.10 CG SDL 2027,6.1,27/Jan/2027,100.0241,5.9632
IN2920200614,06.45 RJ SDL 2027,6.45,03/Feb/2027,100.1374,5.9632
IN1520240186,06.75 GJ SGS 2027,6.75,05/Feb/2027,100.2494,5.9632
IN2220210271,06.54 MH SDL 2027,6.54,09/Feb/2027,100.1816,5.9632
IN3420160159,07.63 WB SDL 2027,7.63,15/Feb/2027,100.6172,5.9632
IN3320160317,07.62 UP SDL 2027,7.62,15/Feb/2027,100.6133,5.9632
IN1020160439,07.61 AP SDL 2027,7.61,15/Feb/2027,100.6095,5.9632
IN3120160194,07.61 TN SDL 2027,7.61,15/Feb/2027,100.6095,5.9632
IN2120160097,07.60 MP SDL 2027,7.6,15/Feb/2027,100.6056,5.9632
IN1520160194,07.59 GJ SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN1620160268,07.59 HR SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN1920160091,07.59 KA SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN2820160355,07.59 PN SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN2920160412,07.59 RJ SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN1320160162,07.59 BR SDL 2027,7.59,15/Feb/2027,100.6017,5.9632
IN1820160175,07.58 JK SDL 2027,7.58,15/Feb/2027,100.5978,5.9632
IN2320160087,07.57 MN SDL 2027,7.57,15/Feb/2027,100.5939,5.9632
IN2420160078,07.57 MG SDL 2027,7.57,15/Feb/2027,100.5939,5.9632
IN3820230024,07.35 PY SGS 2027,7.35,21/Feb/2027,100.5342,5.9632
IN1220200290,06.70 AS SDL 2027,6.7,24/Feb/2027,100.2789,5.9632
IN1320160170,07.78 BR SDL 2027,7.78,01/Mar/2027,100.7951,5.9632
IN3520160026,07.80 CG SDL 2027,7.8,01/Mar/2027,100.8038,5.9632
IN1520160202,07.71 GJ SDL 2027,7.71,01/Mar/2027,100.7649,5.9632
IN1620160276,07.80 HR SDL 2027,7.8,01/Mar/2027,100.8038,5.9632
IN3720160057,07.80 JH SDL 2027,7.8,01/Mar/2027,100.8038,5.9632
IN1920160109,07.75 KA SDL 2027,7.75,01/Mar/2027,100.7822,5.9632
IN2020160148,07.77 KL SDL 2027,7.77,01/Mar/2027,100.7908,5.9632
IN2120160105,07.76 MP SDL 2027,7.76,01/Mar/2027,100.7865,5.9632
IN2620160084,07.74 NL SDL 2027,7.74,01/Mar/2027,100.7779,5.9632
IN2820160363,07.88 PN SDL 2027,7.88,01/Mar/2027,100.8383,5.9632
IN2920160420,07.73 RJ SDL 2027,7.73,01/Mar/2027,100.7736,5.9632
IN3120161309,07.74 TN SDL 2027,7.74,01/Mar/2027,100.7779,5.9632
IN4520160156,07.79 TS SDL 2027,7.79,01/Mar/2027,100.7995,5.9632
IN3320160325,07.78 UP SDL 2027,7.78,01/Mar/2027,100.7951,5.9632
IN3420160167,07.78 WB SDL 2027,7.78,01/Mar/2027,100.7951,5.9632
IN2920210506,06.48 RJ SDL 2027,6.48,02/Mar/2027,100.2360,5.9632
IN3820180070,08.35 PY SDL 2027,8.35,13/Mar/2027,101.1260,5.9632
IN1020160454,07.88 AP SDL 2027,7.88,15/Mar/2027,100.9195,5.9632
IN1320160188,07.85 BR SDL 2027,7.85,15/Mar/2027,100.9055,5.9632
IN3520160034,07.88 CG SDL 2027,7.88,15/Mar/2027,100.9195,5.9632
IN1420160104,07.89 GA SDL 2027,7.89,15/Mar/2027,100.9242,5.9632
IN1620160284,07.89 HR SDL 2027,7.89,15/Mar/2027,100.9242,5.9632
IN1720160549,07.91 HP SDL 2027,7.91,15/Mar/2027,100.9336,5.9632
IN1820160183,08.05 JK SDL 2027,8.05,15/Mar/2027,100.9993,5.9632
IN3720160065,07.94 JH SDL 2027,7.94,15/Mar/2027,100.9477,5.9632
IN1920160117,07.86 KA SDL 2027,7.86,15/Mar/2027,100.9102,5.9632
IN2020160155,07.80 KL SDL 2027,7.8,15/Mar/2027,100.8820,5.9632
IN2420160086,07.83 MG SDL 2027,7.83,15/Mar/2027,100.8961,5.9632
IN2820160371,07.88 PN SDL 2027MAR,7.88,15/Mar/2027,100.9195,5.9632
IN2920160438,07.85 RJ SDL 2027,7.85,15/Mar/2027,100.9055,5.9632
IN3120161317,07.85 TN SDL 2027,7.85,15/Mar/2027,100.9055,5.9632
IN3320160341,07.87 UP SDL 2027,7.87,15/Mar/2027,100.9148,5.9632
IN3620160108,07.93 UK SDL 2027,7.93,15/Mar/2027,100.9430,5.9632
IN3420160175,07.92 WB SDL 2027,7.92,15/Mar/2027,100.9383,5.9632
IN2020200290,06.72 KL SDL 2027,6.72,24/Mar/2027,100.1976,6.3171
IN1020160462,07.62 AP SDL 2027,7.62,29/Mar/2027,100.6566,6.3171
IN1120160032,07.60 AR SDL 2027,7.6,29/Mar/2027,100.6465,6.3171
IN1420160112,07.60 GA SDL 2027,7.6,29/Mar/2027,100.6465,6.3171
IN1620160292,07.64 HR SDL 2027,7.64,29/Mar/2027,100.6667,6.3171
IN1720160556,07.62 HP SDL 2027,7.62,29/Mar/2027,100.6566,6.3171
IN3720160073,07.59 JH SDL 2027,7.59,29/Mar/2027,100.6414,6.3171
IN1920160125,07.59 KA SDL 2027MAR,7.59,29/Mar/2027,100.6414,6.3171
IN2420160094,07.60 MG SDL 2027,7.6,29/Mar/2027,100.6465,6.3171
IN2620160092,07.60 NG SDL 2027,7.6,29/Mar/2027,100.6465,6.3171
IN2820160389,07.60 PN SDL 2027,7.6,29/Mar/2027,100.6465,6.3171
IN2920160446,07.61 RJ SDL 2027,7.61,29/Mar/2027,100.6515,6.3171
IN3120161424,07.62 TN SDL 2027,7.62,29/Mar/2027,100.6566,6.3171
IN3320160358,07.64 UP SDL 2027,7.64,29/Mar/2027,100.6667,6.3171
IN3420160183,07.64 WB SDL 2027,7.64,29/Mar/2027,100.6667,6.3171
IN3120190274,07.25 TN SDL 2027,7.25,31/Mar/2027,100.4717,6.3171
IN1520200347,06.58 GJ SDL 2027,6.58,31/Mar/2027,100.1313,6.3171
IN2920200036,08.31 RJ SDL 2027,8.31,08/Apr/2027,101.0501,6.3171
IN1520170011,07.63 GJ SDL 2027,7.63,12/Apr/2027,100.7032,6.3171
IN2020170014,07.64 KL SDL 2027,7.64,12/Apr/2027,100.7086,6.3171
IN2820170016,07.63 PN SDL 2027,7.63,12/Apr/2027,100.7032,6.3171
